,txt
2941,엔딩 ost가 잔잔하게 흘러나올때 과거를 회상하는 느낌을 받았습니다 인생의 끝에 이르러 저는 어떤 생각을 하고 있을지 궁금하네요 
2942,내 인생영화 둘이 무도회에서 춤추는 씬은 아마 절대로 못 잊을것 같다 
2943,40살 먹고도 방황하는 내 영혼을 위한 반짝이는 애니메이션 
2944,아름답고 아픈 사랑이여서 가슴 시린영화 
2945,확실히 일본영화를 좋아하시는 분들이 보신다면 정말 재밌다고 느끼실겁니다 두 번째 볼 때는 첫 장면부터 울게 될 거예요ㅠㅠ 이 영화를 보고 있으면 정말 가슴이 너무 먹먹해지는 느낌ㅠㅠ 일본 특유의 멜로영화 느낌 일본 멜로영화 좋아하신다면 정말 강추드립니다 
2946,순간 순간의 특별하지 않은 순간의 특별함을 알게해주는 영화 
2947,나만 긴장하면서 봤나 ㅜㅠ 
2949,힘든 회사생활에 현실만 생각하던 나에게 아구몬과 디지몬들이 큰 위로를 해줄줄은 몰랐어항상 내옆을 지켜주던 디지몬 나보고 고생햇고 잘 자란 어른이 되었다고 말해줘서 고마워 20년전 디지몬을 접한 우리가 선택받은 아이들인거를 마지막 극장판보고 알게되네 눈물이 멈추지않는다 
2950,호박전 다시보고싶어요 ㅠㅠ 제발 올려주세용 
2951,평점 높아서 봤는데 스토리 뭐여 하고 싶은 말은 뭐고 좋은 배우들이 아까웠음 
2952,그냥 주인공이 죽었으면 하는 영화가 처음이거나 정말 오랜만이다 이런걸 보고 신파라고 한다는 걸 새삼 느꼈다 
2953,섬세한 영화 천천히 걷고 많이 보게될 것 같다 삶과 죽음의 경계에서 영적의 표현이 너무나도 섬세했다 
2954,두 배우의 섬세한 연기가 뛰어난 영상미와 어우러져 영화에 완전 몰입하게 만드네요다시봐도 좋은 영화 
2955,일상의 소중함과 그 순간마다 느껴지는 감정의 행복함이 우리가 살아가면서 많이 놓쳤거나 잠시 잊었던 몽글몽글한 감성이 들게 만들었습니다 너무 귀여운 캐릭터로 미소 절로 지어져요 어른이들을 위한 감성 인생영화입니다 
2956,인생영화 말이 필요없다 이거 보고 운사람은 나말고도 있을까 
2957,보면서 돌아가신 아버지가 생각나서 눈물흘리며 본영화 영원히 잊지않겠습니다 
2958,처음부터 마지막까지 잔잔하게 감정을 울립니다 서정적인 영화를 좋아해서 잘 봤습니다 여운이 크게 남네요 작품을 한 단어로 표현하자면 애잔이 어울릴거 같아요 가끔 생각나서 다시보는 영화가 될 것 같네요 
2959,정수정 연기 생각보다 잘했음 스토리는 별로 딱히 재밌다는 느낌도 안듬 
2961,이런 영화좀 자주나왔으면 좋겠습니다 
